motu_word,frequency,example_reference,english_gloss,notes
selefe,2,GEN 10:26,,
hasaramavete,2,GEN 10:26,,
iera,2,GEN 10:26,,
hadoram,2,GEN 10:27,,
dikila,2,GEN 10:27,,
abimael,2,GEN 10:28,,
harida,2,GEN 11:4,,
hediba,2,GEN 11:7,,
amarafel,2,GEN 14:1,,
elasara,2,GEN 14:1,,
tidala,2,GEN 14:1,,
hasasono-tamara,2,GEN 14:7,,
adorana,2,GEN 15:4,,
gurimu,2,GEN 15:15,,
kerekere,2,GEN 15:17,,
diravamu,2,GEN 16:13,,
taurahaniahui,2,GEN 16:16,,
lagamui,2,GEN 18:4,,
malakamalaka,2,GEN 19:11,,
taolara,2,GEN 19:23,,
adavada,2,GEN 19:31,,
toreisi,2,GEN 19:33,,
hagabanidia,2,GEN 20:18,,
moria,2,GEN 22:2,,
iehova-ire,2,GEN 22:14,,
taurahaniosi,2,GEN 22:23,,
sinahuhani,2,GEN 23:15,,
basiato,2,GEN 24:50,,
rugu,2,GEN 24:56,,
bere-lahai-roi,2,GEN 24:62,,
govaia,2,GEN 24:65,,
simuran,2,GEN 25:2,,
medan,2,GEN 25:2,,
isabak,2,GEN 25:2,,
eldaha,2,GEN 25:4,,
hituahui,2,GEN 25:7,,
adabeel,2,GEN 25:13,,
ieturu,2,GEN 25:15,,
kedema,2,GEN 25:15,,
gwautararuosi,2,GEN 25:16,,
sinahuta,2,GEN 25:17,,
manorina,2,GEN 25:29,,
naduamu,2,GEN 25:30,,
hitologu,2,GEN 25:30,,
sihari,2,GEN 26:8,,
sitina,2,GEN 26:21,,
beresieba,2,GEN 26:22,,
hadikamai,2,GEN 26:29,,
be-eri,2,GEN 26:34,,
uduguiraigu,2,GEN 27:12,,
mahalata,2,GEN 28:9,,
hane-guna,2,GEN 29:26,,
hapetapetalai,2,GEN 31:15,,
heaulaidia,2,GEN 31:26,,
goreregumu,2,GEN 31:35,,
alaguva,2,GEN 31:40,,
legara-sahaduta,2,GEN 31:47,,
peniel,2,GEN 32:30,,
el-elohe-israel,2,GEN 33:20,,
ḡaḡaia,2,GEN 34:2,,
el-betele,2,GEN 35:7,,
alono-bakutu,2,GEN 35:8,,
benoni,2,GEN 35:18,,
eseban,2,GEN 36:26,,
keran,2,GEN 36:26,,
saavan,2,GEN 36:27,,
aran,2,GEN 36:28,,
dinihaba,2,GEN 36:32,,
bedad,2,GEN 36:35,,
aviti,2,GEN 36:35,,
masareka,2,GEN 36:36,,
matared,2,GEN 36:39,,
mesahab,2,GEN 36:39,,
alava,2,GEN 36:40,,
pinon,2,GEN 36:41,,
mibsara,2,GEN 36:42,,
magdiel,2,GEN 36:43,,
iram,2,GEN 36:43,,
reḡuva,2,GEN 37:2,,
potifara,2,GEN 37:36,,
hakavakavagu,2,GEN 39:17,,
boseadia,2,GEN 40:16,,
vavaroda-vavaroda,2,GEN 41:3,,
agani,2,GEN 41:26,,
rogedia,2,GEN 41:48,,
helalo-boio,2,GEN 41:51,,
ilalolaidia,2,GEN 41:51,,
besegu,2,GEN 41:52,,
nanadaimai,2,GEN 43:7,,
ihabadelaida,2,GEN 43:18,,
ihurilaidia,2,GEN 43:24,,
narimui,2,GEN 45:11,,
hetai,2,GEN 45:14,,
reruedia,2,GEN 45:27,,
iemuel,2,GEN 46:10,,
ohad,2,GEN 46:10,,
puva,2,GEN 46:13,,
esbon,2,GEN 46:16,,
isva,2,GEN 46:17,,
hupim,2,GEN 46:21,,
hahohomu,2,GEN 48:4,,
iatuna,2,GEN 49:10,,
kakakana,2,GEN 49:11,,
dabarai,2,GEN 49:20,,
hanamolaidia,2,GEN 49:28,,
atad,2,GEN 50:10,,
abele-misraim,2,GEN 50:11,,
hahekwarahidiava,2,EXO 1:13,,
matauria,2,EXO 1:21,,
bautama,2,EXO 2:3,,
raria,2,EXO 2:12,,
durumai,2,EXO 2:19,,
hakapuamu,2,EXO 4:11,,
hapapaiamu,2,EXO 4:11,,
taunibunai,2,EXO 4:12,,
buloamu,2,EXO 5:7,,
dahuka,2,EXO 5:14,,
elsafan,2,EXO 6:22,,
tona,2,EXO 7:6,,
iohururudia,2,EXO 9:11,,
hagari,2,EXO 9:25,,
dogomui,2,EXO 9:28,,
is,2,EXO 9:34,,
tubumui,2,EXO 10:6,,
didiari,2,EXO 10:23,,
kwaru,2,EXO 11:7,,
kasirina,2,EXO 12:9,,
iboudia,2,EXO 12:12,,
idabarana,2,EXO 12:16,,
hekouva,2,EXO 12:29,,
kui,2,EXO 12:34,,
nanadu,2,EXO 12:39,,
rakatanidiava,2,EXO 13:22,,
vairani,2,EXO 14:9,,
asiato,2,EXO 14:12,,
mavarudia,2,EXO 15:20,,
ihakunudia,2,EXO 16:8,,
sisidia,2,EXO 16:17,,
gaigai-gaigaina,2,EXO 16:20,,
ubulaimui,2,EXO 16:32,,
dibaḡaniamu,2,EXO 17:2,,
halai,2,EXO 17:12,,
iehova-nisi,2,EXO 17:15,,
hepapahuahumu,2,EXO 18:16,,
gwata,2,EXO 18:21,,
hatonia,2,EXO 18:27,,
ko,2,EXO 20:16,,
ḡahusi,2,EXO 20:17,,
hamaraḡi,2,EXO 21:10,,
ihamakohina,2,EXO 22:2,,
laloani,2,EXO 23:8,,
hakepuludiamu,2,EXO 23:8,,
holo,2,EXO 24:4,,
lahasia,2,EXO 25:11,,
hakerukerua,2,EXO 25:20,,
hedabara,2,EXO 25:30,,
sirina,2,EXO 25:36,,
siridia,2,EXO 26:15,,
rarorarona,2,EXO 26:28,,
idogo-taodia,2,EXO 26:29,,
gagana,2,EXO 27:3,,
rina,2,EXO 27:4,,
hahela,2,EXO 28:3,,
aga,2,EXO 28:3,,
ha-inuamu,2,EXO 28:4,,
akate,2,EXO 28:19,,
matu,2,EXO 28:32,,
turimu,2,EXO 28:32,,
turilai,2,EXO 28:33,,
mairina,2,EXO 28:36,,
iḡeḡelaidia,2,EXO 28:40,,
abodia,2,EXO 29:20,,
davedavelaia,2,EXO 29:26,,
itahunina,2,EXO 29:36,,
itoi-hanaidia,2,EXO 30:4,,
karuhidia,2,EXO 30:6,,
karaimu,2,EXO 30:25,,
natafa,2,EXO 30:34,,
sekelete,2,EXO 30:34,,
kelebena,2,EXO 30:34,,
ihorodia,2,EXO 31:11,,
herohemainona,2,EXO 31:16,,
hereva-herevalai,2,EXO 31:18,,
kadidiha,2,EXO 32:15,,
herehera,2,EXO 33:6,,
hururu-hururuva,2,EXO 34:30,,
taigadia,2,EXO 35:5,,
herehia,2,EXO 35:5,,
udu-ahudia,2,EXO 37:16,,
gimava,2,EXO 38:8,,
turituri,2,EXO 38:23,,
ituridia,2,EXO 38:23,,
domaga-tauratoi,2,EXO 38:26,,
ḡasidia,2,EXO 39:6,,
koronana,2,EXO 39:30,,
haḡugurua,2,EXO 39:42,,
doru,2,LEV 3:9,,
hakerere,2,LEV 5:15,,
taunaena,2,LEV 5:18,,
unubadana,2,LEV 6:5,,
horolaidia,2,LEV 8:10,,
heḡole,2,LEV 10:16,,
lori,2,LEV 11:3,,
ḡauamu,2,LEV 11:3,,
ugava-bada,2,LEV 11:13,,
larata,2,LEV 11:13,,
pivai,2,LEV 11:14,,
kanaḡe,2,LEV 11:16,,
kipa,2,LEV 11:16,,
manubada,2,LEV 11:17,,
kema,2,LEV 11:18,,
lokoru,2,LEV 11:18,,
turumu,2,LEV 11:19,,
taunana,2,LEV 11:25,,
vaboha,2,LEV 11:30,,
taoha,2,LEV 13:2,,
goeva,2,LEV 13:2,,
ḡouna,2,LEV 13:11,,
gadoka-gadokana,2,LEV 13:49,,
idavaridia,2,LEV 14:21,,
boubounabona,2,LEV 14:22,,
ḡoevana,2,LEV 14:57,,
mahutalai,2,LEV 15:24,,
miromu,2,LEV 15:32,,
lalamu,2,LEV 18:12,,
hahemiromu,2,LEV 18:24,,
loridia,2,LEV 18:25,,
lorimui,2,LEV 18:28,,
hahetoholaia,2,LEV 19:36,,
beseamo,2,LEV 20:3,,
bavatu,2,LEV 22:2,,
hakereredia,2,LEV 22:16,,
naiehova,2,LEV 23:3,,
ihiriridia,2,LEV 23:24,,
gabi-ruma,2,LEV 25:34,,
ediatano,2,LEV 25:34,,
ubulaia,2,LEV 25:37,,
dihimui,2,LEV 25:46,,
hagarimui,2,LEV 26:6,,
ilailaidia,2,LEV 26:10,,
vahudinadia,2,LEV 26:34,,
havadiamu,2,LEV 26:37,,
bonaedia,2,LEV 26:45,,
oiese,2,LEV 27:2,,
idurumui,2,NUM 1:5,,
helaḡanaena,2,NUM 3:50,,
kumilai,2,NUM 4:9,,
gwau-hamatana,2,NUM 6:2,,
maedana,2,NUM 6:19,,
herahiaḡaudia,2,NUM 7:37,,
karadika,2,NUM 7:58,,
herevahereva,2,NUM 7:89,,
haḡanilaigu,2,NUM 9:8,,
daetanidia,2,NUM 9:21,,
hobab,2,NUM 10:29,,
heḡeḡae,2,NUM 10:29,,
hagogo,2,NUM 11:8,,
eledad,2,NUM 11:26,,
medad,2,NUM 11:26,,
rahobada,2,NUM 11:28,,
gado-mase,2,NUM 11:34,,
gunalaidiamu,2,NUM 14:14,,
taunirnanima,2,NUM 14:22,,
haherou-heroudia,2,NUM 14:36,,
aiala,2,NUM 14:40,,
karoagwauta,2,NUM 15:6,,
badaranuna,2,NUM 16:14,,
hadonoda,2,NUM 16:34,,
hedavarimu,2,NUM 17:4,,
horomui,2,NUM 18:8,,
taubuna,2,NUM 19:19,,
sukena,2,NUM 20:5,,
butumai,2,NUM 20:14,,
ie-abarim,2,NUM 21:11,,
bere,2,NUM 21:16,,
hadobua,2,NUM 21:18,,
nahaliele,2,NUM 21:19,,
bamoto,2,NUM 21:19,,
petoro,2,NUM 22:5,,
badinabe,2,NUM 22:32,,
bamoto-baal,2,NUM 22:41,,
noho-edea,2,NUM 23:9,,
hagaua,2,NUM 23:10,,
hekapu,2,NUM 24:10,,
maiedia,2,NUM 25:3,,
kosobi,2,NUM 25:15,,
sefon,2,NUM 26:15,,
osni,2,NUM 26:16,,
arod,2,NUM 26:17,,
eran,2,NUM 26:36,,
ahiram,2,NUM 26:38,,
hufam,2,NUM 26:39,,
lahaidia,2,NUM 27:10,,
tanoḡaḡaena,2,NUM 27:14,,
efata,2,NUM 28:9,,
evi,2,NUM 31:8,,
rekem,2,NUM 31:8,,
reba,2,NUM 31:8,,
henumai,2,NUM 31:49,,
ihelalolaidia,2,NUM 31:54,,
logobeha,2,NUM 32:35,,
bete-nimra,2,NUM 32:36,,
kenat,2,NUM 32:42,,
noba,2,NUM 32:42,,
dofka,2,NUM 33:12,,
alusu,2,NUM 33:13,,
ritma,2,NUM 33:18,,
rimon-perese,2,NUM 33:19,,
risa,2,NUM 33:21,,
kehelata,2,NUM 33:22,,
sefere,2,NUM 33:23,,
harada,2,NUM 33:24,,
makeloto,2,NUM 33:25,,
mitka,2,NUM 33:28,,
hasamona,2,NUM 33:29,,
moseroto,2,NUM 33:30,,
horo-hagidigad,2,NUM 33:32,,
abrona,2,NUM 33:34,,
salmona,2,NUM 33:41,,
punon,2,NUM 33:42,,
dibon-gad,2,NUM 33:45,,
sedad,2,NUM 34:8,,
hasara-enan,2,NUM 34:9,,
sefam,2,NUM 34:10,,
semuel,2,NUM 34:20,,
haniel,2,NUM 34:23,,
paltiel,2,NUM 34:26,,
ahihud,2,NUM 34:27,,
danuba,2,NUM 35:6,,
heiriheiri,2,DEU 1:12,,
hamaorolaida,2,DEU 1:25,,
alada,2,DEU 1:27,,
geiamu,2,DEU 1:31,,
halaolao,2,DEU 1:40,,
verimui,2,DEU 4:20,,
bonabonamu,2,DEU 4:28,,
ihadokona,2,DEU 4:43,,
memetau,2,DEU 6:22,,
haboiodia,2,DEU 7:24,,
iheralaidia,2,DEU 7:25,,
hamanaumui,2,DEU 8:3,,
hahitolomui,2,DEU 8:3,,
boga-kunu,2,DEU 8:9,,
ediakara,2,DEU 9:27,,
gudugoda,2,DEU 10:7,,
hadabualaiamu,2,DEU 10:18,,
rakavareai,2,DEU 11:10,,
bagumui,2,DEU 11:18,,
bonaemui,2,DEU 12:6,,
pararadia,2,DEU 14:6,,
ihahitudia,2,DEU 15:1,,
hagorua,2,DEU 15:7,,
hahekidaia,2,DEU 15:8,,
haḡaukaraia,2,DEU 15:19,,
habadea,2,DEU 17:7,,
hahanedia,2,DEU 18:11,,
ha-abia,2,DEU 19:12,,
bamomuimu,2,DEU 20:1,,
aiaia,2,DEU 21:1,,
eremai,2,DEU 21:20,,
helaoahu,2,DEU 22:8,,
usina,2,DEU 23:1,,
hamurimuri,2,DEU 23:12,,
hahisimai,2,DEU 26:6,,
paḡamai,2,DEU 26:6,,
imatauraimui,2,DEU 26:19,,
raḡaiamu,2,DEU 27:17,,
lalo-hesiku,2,DEU 28:20,,
gesegese,2,DEU 28:22,,
tanobadana,2,DEU 28:23,,
ruru,2,DEU 28:40,,
garilaidiamu,2,DEU 28:60,,
hadauredia,2,DEU 28:65,,
garilai,2,DEU 28:67,,
hegwau-hamata,2,DEU 29:12,,
pariparina,2,DEU 29:19,,
hahisilaia,2,DEU 29:22,,
garada,2,DEU 29:29,,
badibadimu,2,DEU 30:14,,
unukahai,2,DEU 30:18,,
habadelaimuimu,2,DEU 30:19,,
heruha-nege,2,DEU 31:10,,
ihabadelaimui,2,DEU 31:28,,
medumedu,2,DEU 32:2,,
laloduhu,2,DEU 32:6,,
latalatana,2,DEU 32:13,,
papapapana,2,DEU 32:18,,
ilalotaodia,2,DEU 32:26,,
vine-ranudia,2,DEU 32:38,,
haberodiamu,2,DEU 32:39,,
kumidiamu,2,DEU 32:39,,
meribata-kade,2,DEU 32:51,,
hahelaḡagu,2,DEU 32:51,,
hegogova,2,DEU 33:5,,
tauta,2,DEU 34:6,,
ahuahu,2,JOS 1:18,,
di,2,JOS 2:11,,
kudoumai,2,JOS 2:11,,
uno,2,JOS 3:4,,
gwautararua,2,JOS 3:12,,
iahara,2,JOS 5:1,,
haḡeḡea,2,JOS 6:11,,
hahekwarahidia,2,JOS 7:3,,
tuana,2,JOS 7:24,,
havaia,2,JOS 8:16,,
haseriseria,2,JOS 8:28,,
siahu-siahuna,2,JOS 9:12,,
mamatamata,2,JOS 9:13,,
koimai,2,JOS 9:22,,
ḡelo,2,JOS 10:13,,
laramutu,2,JOS 10:23,,
auima,2,JOS 10:26,,
madon,2,JOS 11:1,,
merom,2,JOS 11:5,,
misirefoto-maimi,2,JOS 11:8,,
halak,2,JOS 11:17,,
baditanona,2,JOS 11:17,,
anab,2,JOS 11:21,,
labok,2,JOS 12:2,,
gedere,2,JOS 12:13,,
nafata-doro,2,JOS 12:23,,
lahasa,2,JOS 13:18,,
safon,2,JOS 13:27,,
bohan,2,JOS 15:6,,
adumimi,2,JOS 15:7,,
en-semese,2,JOS 15:7,,
badibadidia,2,JOS 15:7,,
nefetoa,2,JOS 15:9,,
labnele,2,JOS 15:11,,
telem,2,JOS 15:24,,
bealoto,2,JOS 15:24,,
bete-pelete,2,JOS 15:27,,
eltolad,2,JOS 15:30,,
madamana,2,JOS 15:31,,
en-ganim,2,JOS 15:34,,
hadasa,2,JOS 15:37,,
lokotele,2,JOS 15:38,,
boskata,2,JOS 15:39,,
gederoto,2,JOS 15:41,,
bete-dagon,2,JOS 15:41,,
etere,2,JOS 15:42,,
arab,2,JOS 15:52,,
luta,2,JOS 15:55,,
kiriata-baal,2,JOS 15:60,,
kiriat-ieanmi,2,JOS 15:60,,
ataroto-adara,2,JOS 16:5,,
mikimetata,2,JOS 16:6,,
lanoa,2,JOS 16:6,,
dara-daena,2,JOS 18:17,,
semaraim,2,JOS 18:22,,
bete-makaboto,2,JOS 19:5,,
saridi,2,JOS 19:10,,
daberata,2,JOS 19:13,,
gata-hefere,2,JOS 19:13,,
nea,2,JOS 19:13,,
iftahele,2,JOS 19:14,,
nahalala,2,JOS 19:15,,
dogoro,2,JOS 19:16,,
sunem,2,JOS 19:18,,
kision,2,JOS 19:20,,
helkat,2,JOS 19:25,,
misala,2,JOS 19:26,,
hamon,2,JOS 19:28,,
elteke,2,JOS 19:44,,
timnata-sera,2,JOS 19:50,,
heharilai,2,JOS 22:8,,
garamai,2,JOS 22:27,,
ohemui,2,JOS 23:13,,
hamauridava,2,JOS 24:17,,
gunalaimai,2,JDG 1:1,,
sefata,2,JDG 1:17,,
bamodiava,2,JDG 1:19,,
ivareaina,2,JDG 1:24,,
here,2,JDG 1:35,,
saalbim,2,JDG 1:35,,
ḡanaḡanava,2,JDG 2:18,,
hisiva,2,JDG 2:18,,
haḡaraḡaraia,2,JDG 2:20,,
kusan-risataimi,2,JDG 3:8,,
mei,2,JDG 3:24,,
ki,2,JDG 3:25,,
samgara,2,JDG 3:31,,
anata,2,JDG 3:31,,
hahemaorova,2,JDG 4:4,,
iaele,2,JDG 4:17,,
gauka,2,JDG 4:18,,
ura-kwalimudia,2,JDG 5:2,,
doḡorodia,2,JDG 5:15,,
halaheva,2,JDG 5:17,,
meroso,2,JDG 5:23,,
iehova-salom,2,JDG 6:24,,
paripari,2,JDG 6:40,,
taunumanima,2,JDG 7:4,,
abele-mehola,2,JDG 7:22,,
bete-bara,2,JDG 7:24,,
gava,2,JDG 8:4,,
ḡinigini,2,JDG 8:7,,
tau-eregabena,2,JDG 8:14,,
huahuagu,2,JDG 9:9,,
ikerukerugu,2,JDG 9:15,,
laloava,2,JDG 9:17,,
moalelaimui,2,JDG 9:19,,
aruma,2,JDG 9:31,,
tebese,2,JDG 9:50,,
heautanidia,2,JDG 11:3,,
mavaruna,2,JDG 11:34,,
asioma,2,JDG 12:2,,
ibisan,2,JDG 12:8,,
hilele,2,JDG 12:13,,
dogomu,2,JDG 13:15,,
vavemai,2,JDG 14:15,,
enehetomana,2,JDG 15:7,,
ramata-lehi,2,JDG 15:17,,
en-hakore,2,JDG 15:19,,
motumu,2,JDG 16:9,,
pania,2,JDG 16:13,,
hatuava,2,JDG 16:14,,
louiou,2,JDG 16:16,,
ipanina,2,JDG 16:19,,
raivaraiva,2,JDG 18:7,,
bete-rehob,2,JDG 18:28,,
ḡelomu,2,JDG 19:9,,
ibani-henina,2,JDG 20:36,,
noha,2,JDG 20:43,,
oropa,2,RUT 1:4,,
hapararada,2,RUT 1:17,,
gogova,2,RUT 2:3,,
gorumu,2,RUT 2:12,,
hahedokia,2,RUT 3:3,,
diniga,2,1SA 2:13,,
keikei,2,1SA 2:14,,
hapiuamu,2,1SA 2:24,,
bavatogu,2,1SA 2:36,,
momova,2,1SA 3:1,,
heḡara-heḡara,2,1SA 3:11,,
hetahava,2,1SA 4:13,,
helou,2,1SA 4:18,,
ikure-ahuna,2,1SA 5:4,,
bitadia,2,1SA 6:5,,
hakavakavadia,2,1SA 6:6,,
iverina,2,1SA 6:7,,
betesemese,2,1SA 6:12,,
ḡoudia,2,1SA 6:12,,
utuava,2,1SA 6:13,,
b,2,1SA 7:3,,
lesana,2,1SA 7:12,,
seroro,2,1SA 9:1,,
bekorata,2,1SA 9:1,,
maraḡi-herea,2,1SA 9:21,,
lada-isi,2,1SA 10:12,,
hamaurimuimu,2,1SA 10:19,,
matri,2,1SA 10:21,,
labese,2,1SA 11:3,,
hahisihisimai,2,1SA 12:4,,
siaidiava,2,1SA 12:11,,
heḡonu,2,1SA 13:1,,
sual,2,1SA 13:17,,
unukaha,2,1SA 14:1,,
migron,2,1SA 14:2,,
haga-nadidia,2,1SA 14:4,,
lagava,2,1SA 14:15,,
hahisimumu,2,1SA 16:15,,
cheese,2,1SA 17:18,,
lalo-tamona,2,1SA 18:1,,
hataiava,2,1SA 18:10,,
dekea,2,1SA 18:11,,
adriele,2,1SA 18:19,,
mehola,2,1SA 18:19,,
ikwinana,2,1SA 19:13,,
etahuamu,2,1SA 20:1,,
daḡa,2,1SA 20:3,,
unukahamu,2,1SA 20:22,,
legamu,2,1SA 20:38,,
heude-heudena,2,1SA 21:1,,
kavaiamu,2,1SA 21:14,,
tamarisk,2,1SA 22:6,,
taudiaedia,2,1SA 22:19,,
garimai,2,1SA 23:3,,
lesimono,2,1SA 23:19,,
iesimono,2,1SA 23:24,,
tuarilaiamu,2,1SA 25:28,,
itahumu,2,1SA 25:29,,
lalo-maoro,2,1SA 25:33,,
galimi,2,1SA 25:44,,
manena,2,1SA 30:12,,
asitala,2,1SA 30:22,,
mun,2,2SA 1:7,,
gwadamu,2,2SA 2:22,,
abitala,2,2SA 3:4,,
itireama,2,2SA 3:5,,
egla,2,2SA 3:5,,
vena,2,2SA 3:12,,
mao,2,2SA 3:14,,
hedokilai,2,2SA 3:31,,
gitaimi,2,2SA 4:3,,
heauna,2,2SA 4:4,,
ḡaraia,2,2SA 4:6,,
elisua,2,2SA 5:15,,
ihaheḡiḡi-dobidia,2,2SA 5:20,,
irahu-masena,2,2SA 6:8,,
ialomu,2,2SA 7:3,,
hamanaudia,2,2SA 8:1,,
ere-ere,2,2SA 8:2,,
mamudia,2,2SA 8:4,,
labora-laboradia,2,2SA 8:8,,
helam,2,2SA 10:16,,
sobaka,2,2SA 10:16,,
komukau,2,2SA 11:1,,
henanadaina,2,2SA 11:3,,
eliama,2,2SA 11:3,,
hadibadibaia,2,2SA 11:19,,
tarakimui,2,2SA 11:20,,
hadareremai,2,2SA 11:23,,
bavadavadia,2,2SA 12:8,,
ihamaorolaina,2,2SA 12:18,,
iradia,2,2SA 12:31,,
iau,2,2SA 13:6,,
ihi-ihiraiava,2,2SA 13:15,,
hahekwarahimu,2,2SA 13:25,,
iha-idaudia,2,2SA 14:20,,
hametaugu,2,2SA 15:33,,
hegaga-hehenina,2,2SA 16:13,,
raka-vareaidia,2,2SA 17:17,,
rogelim,2,2SA 17:27,,
guḡuru,2,2SA 18:8,,
headai,2,2SA 18:9,,
lapaia,2,2SA 18:11,,
ilaohaina,2,2SA 18:22,,
rakirakidia,2,2SA 19:3,,
tauhaumu,2,2SA 19:7,,
iherevalaina,2,2SA 19:43,,
kara-kava,2,2SA 20:1,,
bete-maka,2,2SA 20:14,,
adorama,2,2SA 20:24,,
haḡaukaradiava,2,2SA 20:24,,
seva,2,2SA 20:25,,
gob,2,2SA 21:18,,
hagariguva,2,2SA 22:5,,
huodia,2,2SA 22:6,,
hekoulaia,2,2SA 22:12,,
dubana,2,2SA 22:12,,
guba-rahua,2,2SA 22:14,,
halailaia,2,2SA 22:33,,
isisibadia,2,2SA 23:1,,
negediamu,2,2SA 23:6,,
lentil,2,2SA 23:11,,
lalo-hekisehekisena,2,2SA 23:15,,
ribai,2,2SA 23:29,,
eliaba,2,2SA 23:32,,
saalbon,2,2SA 23:32,,
ahiama,2,2SA 23:33,,
hesero,2,2SA 23:35,,
seleke,2,2SA 23:37,,
naharai,2,2SA 23:37,,
hahida,2,2SA 24:2,,
rara-hebubu,2,1KI 2:32,,
halahuia,2,1KI 2:32,,
kemegu,2,1KI 3:20,,
goevaḡoeva,2,1KI 3:21,,
adoniram,2,1KI 4:6,,
abda,2,1KI 4:6,,
kalakolo,2,1KI 4:31,,
darada,2,1KI 4:31,,
herevalaidiava,2,1KI 4:33,,
husopo,2,1KI 4:33,,
keridia,2,1KI 5:9,,
rai,2,1KI 5:9,,
sivi,2,1KI 6:1,,
lalo-ikouna,2,1KI 6:9,,
toidaedia,2,1KI 6:15,,
toidae,2,1KI 6:16,,
iharuadia,2,1KI 6:27,,
bagubagu,2,1KI 6:31,,
hahelokudia,2,1KI 6:34,,
iridia,2,1KI 7:9,,
hekunu,2,1KI 7:25,,
kapa,2,1KI 7:28,,
haheradia,2,1KI 7:29,,
habahabana,2,1KI 7:31,,
habahaba,2,1KI 7:32,,
ito,2,1KI 7:33,,
lada-tao,2,1KI 7:35,,
ikahi,2,1KI 7:49,,
goevaḡoevana,2,1KI 7:50,,
ihahelai-dobidia,2,1KI 7:50,,
irutahunana,2,1KI 8:8,,
heudamu,2,1KI 8:21,,
iguidia,2,1KI 8:46,,
hama,2,1KI 8:65,,
edehetomadia,2,1KI 9:13,,
hahelaimu,2,1KI 10:9,,
maniki,2,1KI 10:22,,
sukedia,2,1KI 10:27,,
genubata,2,1KI 11:20,,
sereda,2,1KI 11:26,,
haheganidia,2,1KI 11:38,,
ihoudiai,2,1KI 11:38,,
herlidia,2,1KI 13:3,,
giḡia,2,1KI 13:3,,
haganigu,2,1KI 13:9,,
henege-dobina,2,1KI 13:25,,
taitaia,2,1KI 13:29,,
goeva-daedia,2,1KI 14:26,,
loulaidiava,2,1KI 14:28,,
atodiava,2,1KI 14:28,,
abisalomo,2,1KI 15:2,,
momokaniva,2,1KI 15:3,,
abele-bete-maka,2,1KI 15:20,,
arasa,2,1KI 16:9,,
ihatoiahui-taurahanina,2,1KI 16:29,,
keriti,2,1KI 17:3,,
mailaiva,2,1KI 17:6,,
tohena,2,1KI 17:14,,
kaurakaura,2,1KI 17:14,,
diholaia,2,1KI 17:23,,
iharaivana,2,1KI 18:17,,
heivava,2,1KI 18:28,,
auhani,2,1KI 18:33,,
orina,2,1KI 18:45,,
avaniani,2,1KI 19:5,,
ḡigidia,2,1KI 19:14,,
ibolomu,2,1KI 19:16,,
hetalai,2,1KI 20:29,,
ikumilaina,2,1KI 20:38,,
ihekwarahilaidia,2,1KI 20:40,,
lalo-metauna,2,1KI 20:43,,
lalo-ḡaraḡarana,2,1KI 21:4,,
dokilaidia,2,1KI 21:27,,
aela,2,1KI 22:17,,
taraki,2,1KI 22:34,,
heaulaiava,2,1KI 22:34,,
silihi,2,1KI 22:42,,
hedagwa,2,2KI 1:2,,
ḡolemui,2,2KI 1:10,,
haperedia,2,2KI 3:4,,
kiri-haresete,2,2KI 3:25,,
tubu-kau,2,2KI 4:17,,
asimana,2,2KI 4:35,,
buna,2,2KI 5:26,,
hamaorolaiamu,2,2KI 6:12,,
ihadikada,2,2KI 7:12,,
taotao,2,2KI 7:17,,
regudiava,2,2KI 10:6,,
bet-ekede,2,2KI 10:12,,
iehonadab,2,2KI 10:15,,
kariti,2,2KI 11:4,,
hiririva,2,2KI 11:14,,
budua,2,2KI 12:9,,
somere,2,2KI 12:21,,
ihatoiahui-hituna,2,2KI 13:10,,
ihadarerena,2,2KI 13:17,,
hahisihisidiava,2,2KI 13:22,,
ioahasa,2,2KI 14:1,,
aitame,2,2KI 14:8,,
ava-ḡiniḡinina,2,2KI 14:9,,
uda-boromana,2,2KI 14:9,,
heimodaina,2,2KI 14:10,,
amitai,2,2KI 14:25,,
asineto,2,2KI 14:27,,
lekolia,2,2KI 15:2,,
hagorerea,2,2KI 15:5,,
ihatoiahui-taurahani-tana,2,2KI 15:13,,
lono,2,2KI 15:29,,
ierusa,2,2KI 15:33,,
guhiguhina,2,2KI 16:18,,
salmanesere,2,2KI 17:3,,
hehuniva,2,2KI 17:9,,
asima,2,2KI 17:30,,
utuva,2,2KI 18:12,,
ihaerolaina,2,2KI 18:20,,
kwaiduna,2,2KI 18:21,,
hetao-kau,2,2KI 18:21,,
meimui,2,2KI 18:27,,
vau,2,2KI 19:3,,
tirihaka,2,2KI 19:9,,
koilaimu,2,2KI 19:10,,
resef,2,2KI 19:12,,
tel-asara,2,2KI 19:12,,
ḡonaḡonalaimumu,2,2KI 19:21,,
helari,2,2KI 19:22,,
gonaḡonalaia,2,2KI 19:23,,
lata-hereadia,2,2KI 19:23,,
udu-aurina,2,2KI 19:28,,
haloumu,2,2KI 19:28,,
nisrok,2,2KI 19:37,,
heabidadamagu,2,2KI 20:3,,
gelona,2,2KI 20:11,,
merodak-baladan,2,2KI 20:12,,
baladan,2,2KI 20:12,,
daidaidia,2,2KI 21:6,,
hirua,2,2KI 21:14,,
rakalaiva,2,2KI 21:21,,
toiahui-ta,2,2KI 22:1,,
asalia,2,2KI 22:3,,
hagau,2,2KI 22:4,,
ibanilaina,2,2KI 22:6,,
